# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5S_rRNA	EBG00001269610	EBT00001801950	rRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
5S_rRNA	EBG00001269611	EBT00001802045	rRNA	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
5S_rRNA	EBG00001269628	EBT00001801998	rRNA	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0
5S_rRNA	EBG00001269636	EBT00001801984	rRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
5S_rRNA	EBG00001269675	EBT00001801901	rRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
5S_rRNA	EBG00001269695	EBT00001801908	rRNA	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0
5S_rRNA	EBG00001269734	EBT00001801887	rRNA	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
5_ureB_sRNA	EBG00001269593	EBT00001802037	sRNA	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
6S	EBG00001269674	EBT00001802053	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria_small_SRP	EBG00001269599	EBT00001802052	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HPnc0260	EBG00001269704	EBT00001802050	antisense	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0018	KP1_0018	BAH60940	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_0019	KP1_0019	BAH60941	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
